City,Country,Code,International code
El Calafate,Argentina,ING,SAWA
El Carmen,Costa Rica,\N,MREC
El Centro,United States,NJK,KNJK
El Dorado,Argentina,ELO,SATD
El Dorado,Venezuela,EOR,SVED
El Dorado,United States,ELD,KELD
El dorado springs,United States,\N,K87K
El Fasher,Sudan,ELF,HSFS
El Golea,Algeria,ELG,DAUE
El Gorah,Egypt,EGH,HEGR
El Monte,United States,EMT,KEMT
El Obeid,Sudan,EBD,HSOB
El Palomar,Argentina,EPA,SADP
El Paso,United States,ELP,KELP
El Paso,United States,BIF,KBIF
El Salvador,Chile,ESR,SCES
El Vigía,Venezuela,VIG,SVVG
Elat,Israel,ETH,LLET
Elazig,Turkey,EZS,LTCA
El-baha,Saudi Arabia,ABT,OEBA
Elcho Island,Australia,ELC,YELD
Eldoret,Kenya,EDL,HKEL
Elefsis,Greece,\N,LGEL
Elfin Cove,United States,ELV,PAEL
Elim,United States,ELI,PFEL
Elista,Russia,ESL,URWI
Elizabeth City,United States,ECG,KECG
Elkhart,United States,EKI,KEKM
Elkhart,United States,\N,KEHA
Elkins,United States,EKN,KEKN
Elko,United States,EKO,KEKO
Ellicott,United States,\N,KA50
ELLIOT LAKE,Canada,YEL,CYEL
Elliott,Australia,\N,YELL
Elliston,Australia,\N,YFLS
Elmira,United States,ELM,KELM
Elorza,Venezuela,EOZ,SVEZ
Elsenthal,Germany,\N,EDNF
Elstree,United Kingdom,\N,EGTR
El-tor,Egypt,ELT,HETR
Ely,United States,LYU,KELO
Ely,United States,ELY,KELY
Emam Shahr,Iran,RUD,OIMJ
Embu,Kenya,\N,HKEM
Emden,Germany,EME,EDWE
Emerald,Australia,EMD,YEML
Emmaboda,Sweden,\N,ESMA
Emmen,Switzerland,EML,LSME
Emmonak,United States,EMK,PAEM
Emporia,United States,\N,KEMV
Encarnacion,Paraguay,ENO,SGEN
Ende,Indonesia,ENE,WATE
Endelage,Denmark,\N,EKEL
Endicott,United States,\N,KCZG
Enfidha,Tunisia,NBE,DTNH
Engelhard,United States,\N,K7W6
Engeløy,Norway,\N,ENEN
Enghien-moisselles,France,\N,LFFE
Enid,United States,END,KEND
Eniwetok Atoll,Marshall Islands,ENT,PKMA
Enniskillen,United Kingdom,ENK,EGAB
Enontekio,Finland,ENF,EFET
Enschede,Netherlands,ENS,EHTW
Ensenada,Mexico,ESE,MMES
Enshi,China,ENH,ZHES
Enstone,United Kingdom,\N,EGTN
Entebbe,Uganda,EBB,HUEN
Enterprise,United States,ETS,KEDN
Enugu,Nigeria,ENU,DNEN
Enumclaw,United States,\N,WA77
Epinal,France,EPL,LFSG
Eqalugaarsuit,Greenland,QFG,BGET
Erbil,Iraq,EBL,ORER
Erding,Germany,\N,ETSE
Erechim,Brazil,ERM,SSER
Erenhot,China,ERL,ZBER
Erfurt,Germany,ERF,EDDE
Erie,United States,ERI,KERI
Erldunda,Australia,EDD,YERL
Ermelo,South Africa,\N,FAEO
Er-rachidia,Morocco,ERH,GMFK
Erzincan,Turkey,ERC,LTCD
Erzurum,Turkey,ERZ,LTCE
Esbjerg,Denmark,EBJ,EKEB
Escanaba,United States,ESC,KESC
Esfahan,Iran,\N,OIFH
Esfahan,Iran,IFN,OIFM
Eskilstuna,Sweden,EKT,ESSU
Eskimo Point,Canada,YEK,CYEK
Eskisehir,Turkey,ESK,LTBI
Eskissehir,Turkey,AOE,LTBY
Esmeraldas,Ecuador,ESM,SETN
Esperance,Australia,EPR,YESP
Esquel,Argentina,EQS,SAVE
Essadouira,Morocco,ESU,GMMI
Essen,Germany,ESS,EDLE
Essen,Germany,\N,ESSE
Estevan,Canada,YEN,CYEN
Etain,France,\N,LFQE
Eua Island,Tonga,EUA,NFTE
Eufala,United States,EUF,KEUF
Eugene,United States,EUG,KEUG
Eura,Finland,\N,EFEU
Eureka,Canada,YEU,CYEU
Eureka,United States,EKA,KEKA
Evanston,United States,EVW,KEVW
Evansville,United States,EVV,KEVV
Evensk,Russia,\N,UHMW
Everett,United States,PAE,KPAE
Evergreen,United States,\N,KGZH
Evora,Portugal,\N,LPEV
Evreux,France,EVX,LFOE
Exeter,United Kingdom,EXT,EGTE
Eyn-shemer,Israel,\N,LLES
Eyn-yahav,Israel,EIY,LLEY
Eysk,Russia,EIK,URKE
Faaite,French Polynesia,FAC,NTKF
Fagernes,Norway,VDB,ENFG
Fair Isle,United Kingdom,FIE,EGEF
Fairbanks,United States,EIL,PAEI
Fairbanks,United States,FAI,PAFA
Fairfield,United States,SUU,KSUU
Fairford,United Kingdom,FFD,EGVA
Fairoaks,United Kingdom,\N,EGTF
Faisalabad,Pakistan,LYP,OPFA
Faizabad,Afghanistan,FBD,OAFZ
Fajardo,Puerto Rico,FAJ,TJFA
Fak Fak,Indonesia,FKQ,WASF
Fakarava,French Polynesia,FAV,NTGF
Faleolo,Samoa,APW,NSFA
Falkoping,Sweden,\N,ESGK
Fallon,United States,NFL,KNFL
Falmouth,United States,FMH,KFMH
False Pass,United States,KFP,PAKF
Fangatau,French Polynesia,FGU,NTGB
Farafangana,Madagascar,RVA,FMSG
Farah,Afghanistan,FAH,OAFR
Faranah,Guinea,FAA,GUFH
Fargo,United States,FAR,KFAR
Farila,Sweden,\N,ESNF
Farmingdale,United States,FRG,KFRG
Farmington,United States,FMN,KFMN
Farnborough,United Kingdom,FAB,EGLF
Faro,Canada,ZFA,CZFA
Faro,Portugal,FAO,LPFR
Farquhar,Seychelles,\N,FSFA
Farsund,Norway,FAN,ENLI
Fasa,Iran,FAZ,OISF
Fassberg,Germany,\N,ETHS
Faya-largeau,Chad,FYT,FTTY
Fayetteville,United States,FYV,KFYV
Fayetteville,United States,FAY,KFAY
Fehraltorf,Switzerland,\N,LSZK
Fengnin,Taiwan,TTT,RCFN
Fera Island,Solomon Islands,FRE,AGGF
Fergana,Uzbekistan,FEG,UTKF
Fernando Do Noronha,Brazil,FEN,SBFN
Fes,Morocco,FEZ,GMFF
Fes,Morocco,\N,GMFU
Fianarantsoa,Madagascar,WFI,FMSF
Ficksburg,South Africa,FCB,FAFB
Figari,France,FSC,LFKF
Finca 10,Costa Rica,\N,MRFI
Findley,United States,FDY,KFDY
Finke,Australia,FIK,YFNE
Finsterwalde,Germany,\N,EDAS
Fira,Guinea,FIG,GUFA
Fitchburg,United States,\N,KFIT
Fiti\'uta,American Samoa,FTI,NSFQ
Fitzgerald,United States,\N,KFZG
Fitzroy Crossing,Australia,FIZ,YFTZ
Flagler,United States,\N,KXFL
Flagler,United States,\N,CO00
Flagstaff,United States,FLG,KFLG
Flensburg,Germany,FLF,EDXF
Flin Flon,Canada,YFO,CYFO
Flinders Island,Australia,FLS,YFLI
Flint,United States,FNT,KFNT
Flippin,United States,FLP,KFLP
Florence,Italy,FLR,LIRQ
Florence,United States,FLO,KFLO
Florencia,Colombia,FLA,SKFL
Florennes,Belgium,\N,EBFS
Flores,Portugal,FLW,LPFL
Flores,Guatemala,FRS,MGTK
Floriano,Brazil,FLB,SNQG
Florianopolis,Brazil,FLN,SBFL
Florida,Cuba,\N,MUFL
Floridablanca,Philippines,\N,RPUF
Floro,Norway,FRO,ENFL
Foggia,Italy,FOG,LIBF
Fond du Lac,United States,FLD,KFLD
Fond-Du-Lac,Canada,ZFD,CZFD
Fonte Boa,Brazil,FBA,SWOB
Forbes,Australia,FRB,YFBS
Forestville,Canada,YFE,CYFE
Forli,Italy,FRL,LIPK
Formosa,Argentina,FMA,SARF
Forrest,Australia,FOS,YFRT
Fort Albany,Canada,YFA,CYFA
Fort Belvoir,United States,DAA,KDAA
Fort Benning,United States,LSF,KLSF
Fort Bragg,United States,POB,KPOB
Fort Bridger,United States,FBR,KFBR
Fort Carson,United States,FCS,KFCS
Fort Chipewyan,Canada,YPY,CYPY
Fort Collins,United States,FNL,KFNL
Fort Dodge,United States,FOD,KFOD
Fort Drum,United States,\N,KGTB
Fort Eustis,United States,FAF,KFAF
Fort Frances,Canada,YAG,CYAG
Fort Good Hope,Canada,YGH,CYGH
Fort Hood,United States,HLR,KHLR
Fort Hope,Canada,YFH,CYFH
Fort Huachuca,United States,FHU,KFHU
Fort Irwin,United States,BYS,KBYS
Fort Knox,United States,FTK,KFTK
Fort Lauderdale,United States,FXE,KFXE
Fort Lauderdale,United States,FLL,KFLL
Fort Leavenworth,United States,FLV,KFLV
Fort Leonardwood,United States,TBN,KTBN
Fort Lewis,United States,GRF,KGRF
Fort Liard,Canada,YJF,CYJF
Fort Mcmurray,Canada,YMM,CYMM
Fort Mcpherson,Canada,ZFM,CZFM
Fort Meade,United States,FME,KFME
Fort Myers,United States,FMY,KFMY
Fort Myers,United States,RSW,KRSW
Fort Nelson,Canada,YYE,CYYE
Fort Ord,United States,OAR,KOAR
Fort Pierce,United States,FPR,KFPR
Fort Polk,United States,POE,KPOE
Fort Resolution,Canada,YFR,CYFR
Fort Richardson,United States,FRN,PAFR
Fort Riley,United States,FRI,KFRI
Fort Rucker/Ozark,United States,OZR,KOZR
Fort Saint John,Canada,YXJ,CYXJ
Fort Severn,Canada,YER,CYER
Fort Sill,United States,FSI,KFSI
Fort Simpson,Canada,YFS,CYFS
Fort Smith,Canada,YSM,CYSM
Fort Smith,United States,FSM,KFSM
Fort St. James,Canada,\N,CYJM
Fort Stockton,United States,FST,KFST
Fort Wainwright,United States,\N,PAWT
Fort Wainwright,United States,FBK,PAFB
Fort Wayne,United States,FWA,KFWA
Fort Wayne IN,United States,SMD,KSMD
Fort Worth,United States,FTW,KFTW
Fort Worth,United States,AFW,KAFW
Fort Yukon,United States,FYU,PFYU
Fortaleza,Brazil,FOR,SBFZ
Fort-de-france,Martinique,FDF,TFFF
Forties Alpha,United Kingdom,\N,FA08
Foshan,China,FUO,ZGFS
Fostoria,United States,\N,KFZI
Foumban,Cameroon,FOM,FKKM
Fowlmere,United Kingdom,\N,EGSY
Foz Do Iguacu,Brazil,IGU,SBFI
Foz Do Iguacu,Brazil,\N,SSHS
Foz do Iguassu,Brazil,\N,SSHH
Franca,Brazil,FRC,SIMK
Franceville,Gabon,MVB,FOON
Francisco Beltrao,Brazil,FBE,SSFB
Francistown,Botswana,FRW,FBFT
Frankfort,United States,FFT,KFFT
Frankfort,United States,\N,KFKS
Frankfurt,Germany,FRA,EDDF
Franklin,United States,FKL,KFKL
Franz Josef,New Zealand,\N,NZGH
Fraser Island,Australia,OCN,KOKB
Fredericksburg,United States,FBG,KFBG
Fredericton,Canada,YFC,CYFC
Freeport,Bahamas,FPO,MYGF
Freetown,Sierra Leone,FNA,GFLL
Freetown,Sierra Leone,HGS,GFHA
Fregon,Australia,\N,YFRG
Freiburg,Germany,\N,EDTF
Frejus,France,FRJ,LFTU
Fremont,United States,FET,KFET
Frenchville,United States,WFK,KFVE
Fresno,United States,FAT,KFAT
Friday Harbor,United States,FRD,KFHR
Friedrichshafen,Germany,FDH,EDNY
Fritzlar,Germany,FRZ,ETHF
Frooba,Faroe Islands,\N,EKFA
Frya,Norway,\N,ENRI
Fryeburg,United States,FRY,KIZG
Fuerstenfeldbruck,Germany,FEL,ETSF
Fuerte Gral Roca,Argentina,GNR,SAHR
Fuerteventura,Spain,FUE,GCFV
Fujeirah,United Arab Emirates,FJR,OMFJ
Fukue,Japan,FUJ,RJFE
Fukui,Japan,FKJ,RJNF
Fukuoka,Japan,FUK,RJFF
Fukushima,Japan,FKS,RJSF
Fullerton,United States,FUL,KFUL
Fulton,United States,\N,KFZY
Funafuti,Tuvalu,FUN,NGFU
Funchal,Portugal,FNC,LPMA
Funter Bay,United States,FNR,PANR
Furstenwalde,Germany,\N,EDAL
Futaleufu,Chile,FFU,SCFT
Futema,Japan,\N,ROTM
Futuna Island,Wallis and Futuna,FUT,NLWF
Futuna Island,Vanuatu,FTA,NVVF
Fuyang,China,FUG,ZSFY
Fuyuan,China,FYJ,ZYFY
Fuyun,China,FYN,ZWFY
Fuzhou,China,FOC,ZSFZ
Gaberone,Botswana,GBE,FBSK
Gabes,Tunisia,GAE,DTTG
Gabrovnitsa,Bulgaria,\N,LBMG
Gachsaran,Iran,GCH,OIAH
Gadsden,United States,GAD,KGAD
Gafsa,Tunisia,GAF,DTTF
Gainesville,United States,GNV,KGNV
Gainesville,United States,GVL,KGVL
Gaithersburg,United States,GAI,KGAI
Galapagos,Ecuador,GPS,SEGS
Galcaio,Somalia,GLK,HCMR
Galena,United States,GAL,PAGA
Galesburg,United States,GBG,KGBG
Galion,United States,GQQ,KGQQ
Gallivare,Sweden,GEV,ESNG
Gallup,United States,GUP,KGUP
Galoya,Sri Lanka,ADP,VCCG
Galveston,United States,GLS,KGLS
Galway,Ireland,GWY,EICM
Gambell,United States,GAM,PAGM
Gambella,Ethiopia,GMB,HAGM
Gamètì,Canada,YRA,CYRA
Gan Island,Maldives,GAN,VRMG
Gander,Canada,YQX,CYQX
Ganderkesee,Germany,\N,EDWQ
Ganges,Canada,YGG,CAX6
Gangshan,Taiwan,\N,RCAY
Ganja,Azerbaijan,KVD,UBBG
Ganzhou,China,KOW,ZSGZ
Gao,Mali,GAQ,GAGO
Garba Tula,Kenya,\N,HKGT
Garden City,United States,GCK,KGCK
Garissa,Kenya,GAS,HKGA
Garoua,Cameroon,GOU,FKKR
Gary,United States,GYY,KGYY
Garzón,Colombia,\N,SKGZ
Gasan,Philippines,MRQ,RPUW
Gaspe,Canada,YGP,CYGP
Gassim,Saudi Arabia,ELQ,OEGS
Gatineau,Canada,YND,CYND
Gatton,Australia,\N,YGAT
Gaua Island,Vanuatu,ZGU,NVSQ
Gavle,Sweden,GVX,ESSK
Gaya,India,GAY,VEGY
GAYLORD,United States,GLR,KGLR
Gayndah,Australia,GAH,YGAY
Gaza,Palestine,GZA,LVGZ
Gaziantep,Turkey,GZT,LTAJ
Gbadolite,Congo (Kinshasa),BDT,FZFD
Gbangbatok,Sierra Leone,GBK,GFGK
Gdansk,Poland,GDN,EPGD
Gdynia,Poland,QYD,EPOK
Geçitkale,Cyprus,GEC,LCGK
Geelong,Australia,GEX,YGLG
Geilenkirchen,Germany,GKE,ETNG
Geilo,Norway,DLD,ENDI
Geita,Tanzania,GIT,HTRU
Gelendzhik,Russia,GDZ,URKG
Gelephu,Bhutan,GLU,VQGP
Gelnhausen,Germany,\N,EDFG
Gemena,Congo (Kinshasa),GMA,FZFK
Geneina,Sudan,EGN,HSGN
General Pico,Argentina,GPO,SAZG
General Santos City,Philippines,\N,RPMB
Geneva,Switzerland,GVA,LSGG
Genoa,Italy,GOA,LIMJ
George,South Africa,GRJ,FAGG
George Town,Bahamas,\N,MYEG
Georgetown,Cayman Islands,GCM,MWCR
Georgetown,Guyana,GEO,SYCJ
Georgetown,Guyana,OGL,SYGO
Georgetown,United States,\N,KGEO
Georgetown,United States,GED,KGED
Georgetown,United States,GGE,KGGE
Georgetown,United States,\N,KGTU
Gera,Germany,\N,EDAJ
Geralds,Montserrat,MNI,TRPG
Geraldton,Canada,YGQ,CYGQ
Geraldton,Australia,GET,YGEL
Gerona,Spain,GRO,LEGE
Ghadames,Libya,LTD,HLTD
Ghanzi,Botswana,GNZ,FBGZ
Ghardaia,Algeria,GHA,DAUG
Ghat,Libya,GHT,HLGT
Ghazni,Afghanistan,GZI,OAGN
Ghazvin,Iran,GZW,OIIK
Ghedi,Italy,\N,LIPL
Gheshm I.,Iran,\N,OIKQ
Ghriss,Algeria,MUW,DAOV
Giallo,Libya,\N,HLGL
Gibraltar,Gibraltar,GIB,LXGB
Giebelstadt,Germany,GHF,ETEU
Giessen,Germany,\N,EDFL
Gifu,Japan,QGU,RJNG
Gila Bend,United States,\N,KE63
Gilgit,Pakistan,GIL,OPGT
Gillam,Canada,YGX,CYGX
Gillette,United States,GCC,KGCC
Gilze-rijen,Netherlands,GLZ,EHGR
Gimli,Canada,YGM,CYGM
Gioia Del Colle,Italy,\N,LIBV
Girardot,Colombia,GIR,SKGI
Girua,Papua New Guinea,PNP,AYGR
Gisborne,New Zealand,GIS,NZGS
Gisenyi,Rwanda,GYI,HRYG
Gitega,Burundi,GID,HBBE
Gizan,Saudi Arabia,GIZ,OEGN
Gizo,Solomon Islands,GZO,AGGN
Gjadër,Albania,\N,LAGJ
Gjoa Haven,Canada,YHK,CYHK
Gjogur,Iceland,GJR,BIGJ
Gladstone,Australia,GLT,YGLA
Gladwin,United States,GDW,KGDW
Glasgow,United Kingdom,GLA,EGPF
Glasgow,United States,GGW,KGGW
Glasgow,United Kingdom,\N,EGEG
Glasgow,United States,\N,07MT
Glasgow,United States,GLW,KGLW
Glen Innes,Australia,GLI,YGLI
Glendale,United States,\N,KGEU
Glendive,United States,GDV,KGDV
Glentanner,New Zealand,GTN,NZGT
Goa,India,GOI,VAGO
Goba,Ethiopia,GOB,HAGB
Gobernador Gordillo,Argentina,\N,SACT
Gobernador Gregores,Argentina,GGS,SAWR
Gode,Ethiopia,GDE,HAGO
Goderich,Canada,\N,CYGD
Gods Lake Narrows,Canada,YGO,CYGO
Gods River,Canada,ZGI,CZGI
Godthaab,Greenland,GOH,BGGH
GOETSENHOVEN,Belgium,\N,EBTN
Goiania,Brazil,GYN,SBGO
Golbandi,Iran,\N,OIBI
Golden,Canada,\N,CYGE
Goldsboro,United States,GSB,KGSB
Golfito,Costa Rica,GLF,MRGF
Golmud,China,GOQ,ZLGM
Golog,China,GMQ,ZLGL
Golouchestershire,United Kingdom,GLO,EGBJ
Golovin,United States,GLV,PAGL
Goma,Congo (Kinshasa),GOM,FZNA
Gombe,Nigeria,GMO,DNGO
Gomel,Belarus,GME,UMGG
Gondar,Ethiopia,GDQ,HAGN
Goodland,United States,GLD,KGLD
Goodwood,United Kingdom,QUG,EGHR
Goodyear,United States,GYR,KGYR
Goondiwindi,Australia,GOO,YGDI
Goose Bay,Canada,YYR,CYYR
Gorakhpur,India,GOP,VEGK
Goraszka,Poland,\N,EPGO
Gore,Ethiopia,GOR,HAGR
Gore Bay,Canada,YZE,CYZE
Gorgan,Iran,GBT,OING
Gorna Orechovica,Bulgaria,GOZ,LBGO
Gorno-Altaysk,Russia,RGK,UNBG
Goroka,Papua New Guinea,GKA,AYGA
Gorontalo,Indonesia,GTO,WAMG
Gothenborg,Sweden,GOT,ESGG
Gothenborg,Sweden,GSE,ESGP
Goulburn,Australia,GUL,YGLB
Gove,Australia,GOV,YPGV
Governador Valadares,Brazil,GVR,SBGV
Governor's Harbor,Bahamas,GHB,MYEM
Goya,Argentina,OYA,SATG
Gozo,Malta,GZM,LMMG
Graaff Reinet,South Africa,\N,FAGR
Graciosa Island,Portugal,GRW,LPGR
Graf Ignatievo,Bulgaria,\N,LBPG
Grafenwoehr,Germany,\N,ETIC
Grafton,Australia,GFN,YGFN
Grahamstown,South Africa,\N,FAGT
Gran Canaria,Spain,LPA,GCLP
Granada,Spain,\N,LEGA
Granada,Spain,GRX,LEGR
Granbury,United States,\N,KGDJ
Grand Bourg,Guadeloupe,GBJ,TFFM
Grand Canyon,United States,GCN,KGCN
Grand Forks,United States,GFK,KGFK
Grand Forks,Canada,ZGF,CZGF
Grand Island,United States,GRI,KGRI
Grand Junction,United States,GJT,KGJT
Grand Marais,United States,GRM,KCKC
Grand Rapids,United States,GRR,KGRR
Grand Rapids MN,United States,GPZ,KGPZ
Grande Anse,Guadeloupe,DSD,TFFA
Grande Prairie,Canada,YQU,CYQU
Grand-Santi,French Guiana,GSI,SOGS
Gransee,Germany,\N,EDOG
Grant County Airport,United States,MWH,KMWH
Grants,United States,GNT,KGNT
Granville,France,GFR,LFRF
Graulhet,France,\N,LFCQ
Graz,Austria,GRZ,LOWG
Grazzanise,Italy,\N,LIRM
Great Bend,United States,GBD,KGBD
Great Exuma,Bahamas,GGT,MYEF
Great Falls,United States,GTF,KGTF
Great Keppel Island,Australia,GKL,YGKL
Greeley,United States,GXY,KGXY
Green Bay,United States,GRB,KGRB
Green Cove Springs,United States,\N,7FL4
Green Island,Taiwan,GNI,RCGI
Greensboro,United States,GSO,KGSO
Greenvile,United States,GVT,KGVT
Greenville,United States,GSP,KGSP
Greenville,United States,GLH,KGLH
Greenville,United States,PGV,KPGV
Greenville,Liberia,CPA,GLCP
Greenville,United States,GDC,KGYH
Greenville,United States,GMU,KGMU
Greenwood,Canada,YZX,CYZX
Greenwood,United States,GWO,KGWO
Grefrath,Germany,\N,EDLF
Grenchen,Switzerland,ZHI,LSZG
Grenoble,France,GNB,LFLS
Greytown,South Africa,\N,FAGY
Griffith,Australia,GFF,YGTH
Grímsey,Iceland,GRY,BIGR
Grise Fiord,Canada,YGZ,CYGZ
Grobnik,Croatia,\N,LDRG
Gronholt,Denmark,\N,EKGH
Groningen,Netherlands,GRQ,EHGG
Groom Lake,United States,\N,KXTA
Groote Eylandt,Australia,GTE,YGTE
Grootfontein,Namibia,GFY,FYGF
Grosseto,Italy,GRS,LIRS
Groton CT,United States,GON,KGON
Grottaglie,Italy,TAR,LIBG
Grove,United States,\N,KGMJ
Grozny,Russia,\N,URMG
Grube,Germany,\N,EDHB
Grundarfjordur,Iceland,GUU,BIGF
Guadalajara,Mexico,GDL,MMGL
Guajara-mirim,Brazil,GJM,SBGM
Gualaquiza,Ecuador,\N,SEGZ
Gualeguaychu,Argentina,GHU,SAAG
Guanaja,Honduras,GJA,MHNJ
Guanambi,Brazil,GNM,SNGI
Guanare,Venezuela,GUQ,SVGU
Guanghua,China,LHK,ZHGH
Guangyuan,China,GYS,ZUGU
Guangzhou,China,CAN,ZGGG
Guantanamo,Cuba,NBW,MUGM
Guantanamo,Cuba,GAO,MUGT
Guapi,Colombia,GPI,SKGP
Guapiles,Costa Rica,GPL,MRGP
Guapiles,Costa Rica,\N,MRCA
Guarapari,Brazil,GUZ,SNGA
Guarapuava,Brazil,GPB,SBGU
Guaratingueta,Brazil,GUJ,SBGW
Guasave,Mexico,\N,MM52
Guasdualito,Venezuela,GDO,SVGD
Guatemala City,Guatemala,GUA,MGGT
Guayana,Venezuela,PZO,SVPR
Guayaquil,Ecuador,GYE,SEGU
Guayaramerín,Bolivia,GYA,SLGY
Guaymaral,Colombia,\N,SKGY
Guaymas,Mexico,GYM,MMGM
Guemar,Algeria,ELU,DAUO
Guernsey,Guernsey,GCI,EGJB
Guerrero Negro,Mexico,GUB,MMGR
Guetersloh,Germany,GUT,ETUO
Guidonia,Italy,\N,LIRG
Guilin,China,KWL,ZGKL
Guiria,Venezuela,GUI,SVGI
Guiscriff-scaer,France,\N,LFES
Guiuan,Philippines,\N,RPVG
Guiyang,China,KWE,ZUGY
Gulf Shores,United States,GUF,KJKA
Gulfport,United States,GPT,KGPT
Gulkana,United States,GKN,PAGK
Gulu,Uganda,ULU,HUGU
Guna,India,GUX,VAGN
Gunnison,United States,GUC,KGUC
Gunung Sitoli,Indonesia,GNS,WIMB
Guriat,Saudi Arabia,URY,OEGT
Gurney,Papua New Guinea,GUR,AYGN
Gurupi,Brazil,GRP,SWGI
Gusau,Nigeria,\N,DNGU
Gustavia,France,SBH,TFFJ
Gustavus,United States,GST,PAGS
Guwahati,India,GAU,VEGT
Guymon,United States,GUY,KGUY
Guyuan,China,GYU,ZLGY
Gwadar,Pakistan,GWD,OPGD
Gwalior,India,GWL,VIGR
Gwert,Zimbabwe,GWE,FVTL
Gwinn,United States,MQT,KSAW
Gy?r,Hungary,\N,LHPR
Gyumri,Armenia,LWN,UDSG
Haa Dhaalu Atoll,Maldives,HAQ,VRMH
Haast,New Zealand,\N,NZHT
Hachijojima,Japan,HAC,RJTH
Hachinoe,Japan,HHE,RJSH
Hafr Al-batin,Saudi Arabia,AQI,OEPA
Hagerstown,United States,HGR,KHGR
Hagfors,Sweden,HFS,ESOH
Hagshult,Sweden,\N,ESMV
Haguenau,France,\N,LFSH
Hahn,Germany,HHN,EDFH
Haifa,Israel,HFA,LLHA
Haikou,China,HAK,ZJHK
Hail,Saudi Arabia,HAS,OEHL
Hailar,China,HLD,ZBLA
Hailey,United States,SUN,KSUN
Haines,United States,HNS,PAHN
Haines Junction,Canada,YHT,CYHT
Haiphong,Vietnam,HPH,VVCI
Haixi,China,HXD,ZLDL
Hakkari,Turkey,YKO,LTCW
Hakodate,Japan,HKD,RJCH
Half Moon Bay,United States,HAF,KHAF
Halfpenny Green,United Kingdom,\N,EGBO
Haliburton,Canada,\N,CND4
Halifax,Canada,\N,CYAW
Halifax,Canada,YHZ,CYHZ
Hall Beach,Canada,YUX,CYUX
Halle,Germany,\N,EDAQ
Halli,Finland,KEV,EFHA
Halls Creek,Australia,HCQ,YHLC
Hallviken,Sweden,\N,ESNA
Halmstad,Sweden,HAD,ESMT
Hamadan,Iran,HDM,OIHH
Hamadan,Iran,\N,OIHS
Hamamatsu,Japan,\N,RJNH
Hamar,Norway,HMR,ENHA
Hamburg,Germany,HAM,EDDH
Hamburg,Germany,XFW,EDHI
Hameenkyro,Finland,\N,EFHM
Hamhung,North Korea,DSO,ZKSD
Hami,China,HMI,ZWHM
Hamilton,Canada,YHM,CYHM
Hamilton,New Zealand,HLZ,NZHN
Hamilton,Australia,HLT,YHML
Hamilton,United States,HAO,KHAO
Hamilton,United States,\N,KMNZ
Hamilton Island,Australia,HTI,YBHM
Hamm,Germany,\N,EDLH
Hammerfest,Norway,HFT,ENHF
Hampton,United States,LFI,KLFI
Hampton,United States,\N,K4A7
Hana,United States,HNM,PHHN
Hanamaki,Japan,HNA,RJSI
Hanau,Germany,ZNF,ETID
Hancock,United States,CMX,KCMX
Handan,China,HDG,ZBHD
Hangzhou,China,HGH,ZSHC
Hanko,Finland,\N,EFHN
Hannover,Germany,HAJ,EDDV
Hanoi,Vietnam,\N,VVGL
Hanoi,Vietnam,HAN,VVNB
Hanover,Canada,\N,CYHS
Hanzhong,China,HZG,ZLHZ
Hao Island,French Polynesia,HOI,NTTO
Harare,Zimbabwe,\N,FVCP
Harare,Zimbabwe,HRE,FVHA
Harbin,China,HRB,ZYHB
Hardap,Namibia,\N,FYGK
Hargeisa,Somalia,HGA,HCMH
Harlesiel,Germany,\N,EDXP
Harlingen,United States,HRL,KHRL
Harmony,South Africa,\N,FAHA
Harrisburg,United States,MDT,KMDT
Harrisburg,United States,HAR,KCXY
Harrismith,South Africa,HRS,FAHR
Harrison,United States,HRO,KHRO
Harstad/Narvik,Norway,EVE,ENEV
Hartford,United States,HFD,KHFD
Harts Range,Australia,\N,YHTS
Hartsville,United States,HVS,KHVS
Hasenmoor,Germany,\N,EDHM
Haskovo,Bulgaria,\N,LBHS
Hasselt,Belgium,\N,EBZH
Hassfurt,Germany,\N,EDQT
Hassi Messaoud,Algeria,HME,DAUH
Hastings,New Zealand,\N,NZHS
Hasvik,Norway,HAA,ENHK
Hat Yai,Thailand,HDY,VTSS
Hatay,Turkey,HTY,LTDA
Hattiesburg,United States,HBG,KHBG
Hattiesburg/Laurel,United States,PIB,KPIB
Haugesund,Norway,HAU,ENHD
Havana,Cuba,HAV,MUHA
Haverfordwest,United Kingdom,HAW,EGFE
Havre,United States,HVR,KHVR
Havre-Saint-Pierre,Canada,YGV,CYGV
Hawarden,United Kingdom,CEG,EGNR
Hawthorne,United States,HHR,KHHR
Hay River,Canada,YHY,CYHY
Hayden,United States,HDN,KHDN
Hayman Island,Australia,\N,YHYN
Hays,United States,HYS,KHYS
Hayward,United States,HWD,KHWD
Hayward,United States,HYR,KHYR
Hazleton,United States,HZL,KHZL
Haztor,Israel,\N,LLHS
Headcorn,United Kingdom,\N,EGKH
Healy,United States,\N,PAHV
Hearst,Canada,YHF,CYHF
Hechi,China,HCJ,ZGHC
Hede,Sweden,\N,ESNC
Hefei,China,HFE,ZSOF
Heho,Burma,HEH,VYHH
Heihe,China,HEK,ZYHE
Helena,United States,HLN,KHLN
Helgoland,Germany,HGL,EDXH
Hellwege,Germany,\N,EDWM
Helsinki,Finland,HEM,EFHF
